Sl.No.,Company Name,Sector,Core Role / Others,Course,School,Profile / Designation,Job Location,UG/PG,Posting Date,Posting Month,Internship Cum PPO Offer,SS_JD,Year
349,Comprinno Technologies,IT / ITES,,BMS / BBA,Commerce / CMS Lalbagh,Business Development Executive,Bengaluru,UG,07-05-2025,May,Internship Cum PPO Offer,"Excellent communication skills; speaking, writing, listening. Articulate and persuasive; can
communicate difficult and complex matters in a straightforward, transparent manner
● Prior work experience in a Sales position working with solutions that include business
analytics, DHW, Hadoop, Data Lake, and Machine Learning is a plus
● Ability to track activity in CRM and Excel
● Strong organizational, analytical, detailed planning and project management skills.
● Ability to grasp concepts quickly, think beyond traditional methods to exceed client s
expectations
● Proactive and self-motivated. Action bias with a strong sense of urgency Identify and properly qualify Cloud opportunities
● Cold Calling and scheduling meetings skills with respective stakeholders.
● Work with Presales and Field Sales to discover, identify and meet customer requirements
● Responsible for revenue generation.
● New client acquisitions and managing the existing clients for providing exceptional Public
Cloud Services.
● Developing business opportunities that are strategic from a revenue perspective or complex
in nature, requiring high-level complex selling skills.
● Responsible for maintaining the long-term relationships with the customers and solving their
grievances whenever it arises",2025
350,Allegis Group,Professional Services,,B.Com / BMS / BBA,Commerce / CMS Lalbagh,Candidate Relationship Specialist,Bengaluru,UG,02-05-2025,May,FULLTIME,"• Strong verbal & business communication
• Exposure to projects related to staffing industry or Corporate HR Recruitment preferred.
• Should possess a research mindset Understand the qualified Client Requisition to find right talent
• Discuss and execute the sourcing strategy to find talent for the qualified requisitions through various
tools (Internal Database, Job Portals, social media, and network-based hiring etc.)
• Create effective search techniques
• Qualify / Disqualify candidates with effective resume screening techniques
• Use effective pitch to position the client and the opportunity to prospective candidates
• Ability to carry out detailed candidate conversations to assess candidate interest basis the requisition
• Update and track the candidate’s details and status in the Inhouse Applicant Tracking System
(Database) in timely and accurate manner
• Follow-up with candidates through phone and email communication channels throughout the
recruitment process
• Ensure continuous learning focused on capability development",2025
351,City Union bank,BFSI/NBFC,,B.Com / BMS / BBA,Commerce / CMS Lalbagh,APPRENTICE RELATIONSHIP MANAGER-I,PAN INDIA,UG,08-05-2025,May,FULLTIME," Sales of the Banks products and services.
2. Develop and nurture relationship with existing
customers, to generate new business from them.
3. Originate and acquire new leads from existing
customers and other sources, to convert into business
for the branch, by means of marketing calls and
customer visits.
4. Cross selling of third party products like insurance, to
existing customers.
5. Lead generation for Current and Savings AccountsCASA to new customers and increase of balance with
existing customers.
6. Lead generation for various loan products like housing
loan, Jewel loan, vehicle loan, personal loan etc.
7. Regular calls and visits to customers and leads forrelationship building.
8. Responsible for timely processing of bank transactionslike Account Opening, fund transfer, cheques etc.9. Ensuring timely resolution of customer queries andimproving customer relationship through goodservice.
10. Responsible for handling day to day branch operationsand efficiently handling all branch operation relatedtasks.
11. Compliance to the banks rules, internal guidelines,systems and procedures.
12. Effectively and efficiently handling any assignmentgiven by the Branch Manager or Management fromtime to time.",2025
352,Grahm,Real Estate / Construction,,B.Com / BMS / BBA,Commerce / CMS Lalbagh,Onboarding Specialist,Remote,UG,08-05-2025,May,FULLTIME,"Strong verbal and written communication skills.
Comfortable with video conferencing tools (e.g., Zoom, Google Meet).
Friendly, clear communicator with a client-first attitude.
Self-disciplined and reliable in a remote work setup. Conduct video calls with clients to explain company services and onboarding steps.
Answer client queries and offer support during initial setup.
Share guides, tutorials, and other onboarding resources.
Coordinate with internal teams for smooth client handovers.
Maintain accurate records in CRM tools.",2025
353,Unlox IT Solutions Services Pvt. Ltd,IT / ITES,,B.Com / BMS / BBA,Commerce / CMS Lalbagh,HR Intern,Bengaluru,PG,12-05-2025,May,Internship Cum PPO Offer, ,2025
354,Scaler Academy,Ed- tech,,B.Com / BMS / BBA,Commerce / CMS Lalbagh,Business Development Associate (BDA),Bengaluru,UG,12-05-2025,May,FULLTIME,"Communication Excellence: Articulate thoughts clearly and
persuasively
Quick Thinker: Adapt to conversations and situations with agility
Confidence & Curiosity: Self-assured with a genuine desire to
learn
Sales Mindset: Goal-oriented with a learner's perspective
Team Player: Collaborative spirit with the ability to execute
independently
Resilience: Comfortable in a high-growth, high-performance
environment Engage with potential learners – understand their aspirations and
guide them to the right career path
Own the entire sales funnel like an entrepreneur
Master our product offerings to provide authentic, value-driven
consultation
Apply smart hustle – strategic effort over brute force
Exceed targets and continuously raise your own bar
Maintain meticulous CRM records for data-driven decisions",2025
355,Dnata International,aviation, ,B.Com / BMS / BBA,Commerce / CMS Lalbagh,Customer Service Agents,Bengaluru,UG,12-05-2025,May,FULLTIME,"We handle theEtihad Airways contact center and are seeking
candidates with strong communication skills, excellent
English speaking skill required for this position. Provide first call resolution for all customer enquiries and
OBE (online booking engine support) through application of

technical expertise in reservations, ticket issuance and re-
issuance.

Comply with set standards of customer service (e.g. quality
of speech, call attendance, emails, handling queues, etc.) to
ensure customer confidence, satisfaction and loyalty.
Achieve individual revenue and customer service targets to
support delivery of team/departmental targets.
Support implementation of new technology and work
methods to sustain ongoing process and quality
improvement processes.
Keep up to date on products, services, policies and
procedures to ensure accurate information and correct
implementation; take initiative to continuously enhance
technical skills.
Maintain data protection and confidentiality for both staff and
customers, ensuring attention to detail in all bookings.
Be the voice of the brand.
Support other departments as required.
Adhere to company regulatory requirements such as data
protection, data privacy etc",2025
356,Indigo Airlines,Aviation,,B.Com / BMS / BBA,Commerce / CMS Lalbagh,Officer - AO&CS,Bengaluru,UG,12-05-2025,May,FULLTIME," Confirm the ETA of the flight from OCC or System (Navitaire).
⧫ Take the bay no. from Apron and convey it to all the stations on R.T.
⧫ Ensure that you are at the bay D-20 mins with all the equipments required.
⧫ Note down the Touch down and Chocks and convey it on R.T.
⧫ Allign the ramp properly.
⧫ Make sure there are enough coaches available for deplaning the pax and take care that baggage
should reach Arrival before the pax.
⧫ Check the cleaning and take the boarding clearance from the Cabin crew and announce it on R.T.
⧫ Make sure loading is done as per Loading Instruction Report given by the Load and Trim staff.
⧫ After departure make sure that all the equipments are sent back to the transport yard.
⧫ Fill the ramp filling.
⧫ During the flight ensure everyone is smooth, safe and flight is on time.",2025
357,Allegis Group,Professional Services,,B.Com / BMS / BBA,Commerce / CMS Lalbagh,Recruiter,Bengaluru,UG,14-05-2025,May,FULLTIME,"Ability to learn and adapt to working on newer skills and requirements demands.
➢ Possess strong written and oral English communication skills.
➢ Ability to recruit with a sense of urgency.
➢ Availability to work before/after typical office hours as work may necessitate.
➢ A strong work ethic and sense of commitment.
➢ Ability to work under pressure and target-driven environment ",2025
358,Crisil Limited,Financial services,,BMS / BBA,Commerce / CMS Lalbagh,Retainer,Bengaluru,UG,16-05-2025,May,FULLTIME,"Degree in International Relations, Political Science, or
similar field
-
Fluency in one or more of the mentioned languages
mentioned above (should be able to read & write)
-
- Excellent written and verbal communication skills
- Willing to work from 7 am to 4 pm shift in Bengaluru
- 1-year contractual role We are looking for candidates with a degree in International
Relations, Political Science, or a similar field, who are fluent
in one or more of the following languages: French, Spanish,
Arabic, Russian, Mandarin, or Southeast Asian languages.
The ideal candidate should possess excellent written and
verbal communication skills in one or more of the mentioned
languages, with the ability to articulate complex ideas and

concepts. This role requires a deep understanding of
international affairs, politics, and cultural nuances, making it
an exciting opportunity for professionals with a passion for
global relations.",2025
359,Heleum inc,Ed-Tech,,BMS / BBA,Commerce / CMS Lalbagh,HR intern,WFH,UG,16-05-2025,May,Internship Cum PPO Offer,"Strong communication and interpersonal skills.
3. Ability to work independently and take initiative.
4. Basic understanding of recruitment processes is a plus.
5. Proficiency in MS Office tools and comfortable with online platforms Assist in sourcing and recruiting candidates through various channels
such as job portals, social media, and college networks.
2. Screen resumes and conduct initial telephonic interviews to evaluate
candidates' qualifications and suitability.
3. Coordinate and schedule interviews between candidates and clients.
4. Maintain and update the candidate database.
5. Collaborate with the team to strategize and improve recruitment
processes.
6. Ensure a smooth and professional experience for candidates throughout
the hiring process.
Heleum inc.
1st Floor, Airport Plaza, Plot no.15, Tonk
Rd, Durgapura, Jaipur, Rajasthan 302016.
About the Company:
At Heleum, we’re on a mission to transform the way people learn and grow
by leveraging cutting-edge technology and innovative teaching methods.
Our platform offers a diverse range of interactive, personalized courses
that cater to learners of all ages and backgrounds. By blending engaging
digital tools with expert-led instruction, we aim to make quality education
more accessible, inclusive, and impactful.
LinkedIn - https://www.linkedin.com/company/heleumindia/
App - https://heleum.in
Requirement",2025
360,Duruper,Professional Services,,BMS / BBA,Commerce / CMS Lalbagh,HR intern,Bengaluru,UG,16-05-2025,May,FULLTIME," Full Cycle Recruiting of senior/mid-level.
• Develop recruiting strategies designed to identify qualified candidates through various
recruiting tools.
• Evaluate candidate’s strengths compared with requirements by, evaluating, screening, and
interviewing candidates.
• Negotiate wage rates and other terms and conditions of employment with candidates, and
gain commitment from candidates for current and future job requirements.
• Complete necessary pre-employment processes including reference checks and
background/drug tests.
• Consistently source and deliver candidates with difficult and hard to find skill sets.
• Search and recruit quality candidates via database searches, Internet resume banks, job
postings, job boards etc.
• Recruitment of passive candidate through outside of the box methods like social medias
(LinkedIn, Facebook, Head Hunting, Campus / Institution Hiring etc).
• Online levering social and professional contacts to find talent throughout India.",2025
361,Bardwood Support Services,Research and Consulting,,BMS / BBA,Commerce / CMS Lalbagh,Recruitment Executive/Operations Coordinator,Bengaluru,UG,16-05-2025,May,FULLTIME,"1+ years’ experience as an Operations Coordinator or Customer Support Executive.
• Excellent communication skills (oral and written).
• Proactive and ability to work independently and collaboratively.
• Strong problem-solving and analytical skills.
• Ability to prioritize tasks and manage multiple deadlines effectively.
• Proficiency in Microsoft Office Suite.
 Manage internal and external stakeholder relationships, fostering positive and productive communication.
• Efficiently handle queries and escalations, providing timely and accurate resolutions.
• Maintain accurate records and documentation.
• Contribute to the continuous improvement of operational processes.
• Collaborate effectively with colleagues across different departments.",2025
362,Sudhan Associates LLP Poseidon Retail LLP RASAD SUVIDHA SEVA PVT,Professional Services,,B.Com / BBA,Commerce / CMS Lalbagh,FINANCE INTERN,Bengaluru,UG,16-05-2025,May,FULLTIME," The group is into electrical hardware and mobiles distribution
and also now foraying into retail stores Reporting of
Outstanding recievebles on day to day basis
Handling accounts of the retail stores from Rajajinagar head
office
And also GST finalization for the companies.....return filed by
auditor",2025
363,Canon India Private Limited,Professional Services,,B.Com / BBA,Commerce / CMS Lalbagh,Sales Associate,Bengaluru,UG,16-05-2025,May,FULLTIME,Good verbal and written communication ,2025
364,BDO Rise,IT / ITES,,B.Com / BBA,Commerce / CMS Lalbagh,"Audit & Assurance - Assistant, Accounting Advisory - Assistant",Bengaluru,UG,16-05-2025,May,FULLTIME," Should have strong
proficiency in English
both written and oral.
Hands on experience in
Ms Office tools and
applications (word, excel,
powerpoint) Specifically
with strong proficiency in
using excel and
spreadsheets.
-

Should have strong
proficiency of using excel
and spreadsheets.
-

Have good
understanding of
concepts around
accounting and auditing,
including familiarity with
financial statements.
-

Have experience of
compiling / drafting
reports, presentations,
etc
-

Have knowledge and
experience of audit
documentation,
preparing and completing
audit work papers etc.
-

Accou
nting
Advis
ory
(BDO
India
LLP)
Assi
stant
Commerce/
Finance
stream, no
backlogs

Execution of client
engagements - Ensuring
quality delivery as per
client requirements.
-

Understanding business
& industry issues /
trends.
-

- Ensuring timely delivery

of working papers as per
the defined methodology
Ensuring compliance with
engagement plans,
internal quality & risk
management
procedures. Performing
testing procedures
including analysis,
research, report writing
and developing analytical
models and working on
solutions for complex
calculations, performing
technical research on
accounting matters, etc.
-

Assist in preparing
presentations, research
papers.
-

Provide necessary
support to the team
manager on engagement
activities.
-

Handle areas and work
allocated including
testing and relevant
procedures
-

Prepare work papers and
ensure compliance with
firms policies and
procedures and also
regulatory requirements.
-

Providing research on
technical matters
including audit,
accounting and
regulatory. Preparation of
financial statements,
other formats and reports
used for various
purposes.",2025
365,Banana Club,Retail,,B.Com / BMS / BBA,Commerce / CMS Lalbagh,SOCIAL MEDIA INTERN,Bengaluru,UG,19-05-2025,May,FULLTIME,"Students from Mass Communication, Marketing, Design,
or related fields preferred
-
Strong understanding of social media platforms and
content formats
-
Basic knowledge of tools like Canva, CapCut, or similar
editing platforms
-
- Good communication and writing skills
A creative mindset with a strong interest in fashion &
branding Assist in creating, planning, and scheduling content
across Instagram, LinkedIn, and other platforms
-
Contribute ideas for campaigns, reels, and engagement
activities
-
Research current trends, hashtags, and audience
behavior
-
Write engaging captions and copy aligned with the
brand voice
-

Help monitor performance metrics (likes, shares, reach,
etc.)
-
Support during photoshoots, influencer campaigns, and
collaborations",2025
366,Monster.Com (Foundit),Professional Services,,BMS / BBA,Commerce / CMS Lalbagh,Sales Executive,Bengaluru,UG,20-05-2025,May,FULLTIME,"0 to 3 years of experience in inside sales /outbound calls
experience
Must have calling skills, selling to Company executives/
Professionals for B2C products,
domain Knowledge
Strong verbal skills with consultative professional business
acumen
Experience in all areas of business development from lead

generation to scheduling
meetings with stakeholders
Interest and ability to learn concepts quickly
Comfortable working on MS excel and CRM tools like
Salesforce
Keep thorough records of customer interactions and provide
quarterly projections on a
weekly basis.
Functional Skill Required
Account Management Skills
Strong analytical skills and ability to handle complex sales
situations
Presentation and Probing skills
Negotiation skills
Relationship-building skills Duties and Responsibilities

We are looking people who are target-driven and passionate
about B2C sales. The ideal
candidate should
Be self-driven and have the ability to work in an outbound
Inside sales environment
Have the ability to drive Monthly, Quarterly, and Annual
Sales Quota achievement.
Proactively identify cross-selling/up-selling opportunities with
existing customers
Solicit references through the existing customer base to
increase the sales pipeline
Understand customer requirements and pass on insights
toward product portfolio
improvement based on the customer interaction and
feedback
Manage pre-sales to post-sales support activities for the
assigned products/geographies
and ensuring the highest customer satisfaction
Bachelor's degree in business or related field. Prior
experience in BFSI/ Edtech / B2C
environment would be an added advantage",2025
367,Smartq,Healthcare / Pharmaceutical,,B.Com / BMS / BBA,Commerce / CMS Lalbagh,TRAINING CONTENT INTERN,Bengaluru,UG,20-05-2025,May,Internship Cum PPO Offer,"Strong communication and writing skills.
• Basic proficiency in MS PowerPoint or Google Slides.
• Interest in explaining technical concepts in a simple way.
• Eye for detail, good organization, and time management.
• Willingness to learn new tools and take ownership of tasks.
• Bonus: Experience with content writing, documentation, or and multimedia creation. Create simple and structured product guides that explain workflows and features step by step
using AI tools.
• Create clear, engaging, and easy-to-understand PowerPoint presentations for training sessions that
break down complex topics.
• Collaborate with the team to plan and produce short, engaging videos that highlight important
product features and benefits leveraging AI tools.
• Work closely with different teams to gather necessary information and ensure content is aligned
with product updates and changes.
• Stay open to exploring new tools, including AI-based platforms, to enhance the interactivity and
quality of training materials.
• Take full ownership of tasks, ensuring timely completion with attention to detail and high-quality
results.
• Regularly review and update existing training materials to make sure they are accurate, relevant,
and easy to follow.
• Ensure all training content follows a consistent style, tone, and branding to maintain a
professional and cohesive experience",2025
368,Moog India Technology Center,Aviation,,B.Com / BMS / BBA,Commerce / CMS Lalbagh,Business Operation department,Bengaluru,UG,20-05-2025,May,Internship Cum PPO Offer,"Ability to work both independently and in a team
environment
-Ability to thrive in a fast-paced, frequently changing, and
evolving environment
-Excellent analytical, communication, and organization skills Issue regular reporting to customers and external teams
-Process Purchase Orders and Sales Order for new and
returning units n Moogs MRP system
-Work cross functionally with internal groups to resolve
customer issues and ensure timely delivery
-Proactively work open issues in the customer queue",2025
369,Moog India Technology Center,Aviation,,B.Com /  BBA,Commerce / CMS Lalbagh,HR,Bengaluru,UG,20-05-2025,May,Internship Cum PPO Offer,"Ability to work both independently and in a team environment

-Ability to thrive in a fast-paced, frequently changing, and evolving environment

-Excellent analytical, communication, and organization skills ",2025
370,Small Industries Development Bank of India,BFSI/NBFC,,BMS / BBA,Commerce / CMS Lalbagh,Customer Support Associate (CSA),Bengaluru,PG,20-05-2025,May,FULLTIME,"(i) The candidate should have prior basic knowledge of accounting and
banking.
(ii) The candidate should be able to speak, read and write in local
language and working knowledge of English.
(iii) Further, the candidates should have basic knowledge of computers
(for filling online application form / other documents)
(iv)The candidate should be highly familiar with the local area and
prominent places and nearby industrial areas in the region.
(v) The candidate should not have any kind of police record / complaint,
or litigation pending / filed against him / her.
(vi)The candidate with own vehicle (two wheeler) shall be preferred. To engage contractual / outsourced support staff to help Branch Offices
in dispensing with various non-core activities related to credit
dispensation viz.,
(i) facilitating filling up of application form by customers;
(ii) obtaining signed applications ;
(iii) collecting documents including KYC documents, cheques ;
(iv) role in credit underwriting including due diligence, visit to units ;
(v) credit monitoring and follow-up functions, including insurance,
audited accounts etc ;
(vi) collection of audit related documents etc from the existing as well
as prospective clients ;
(vii) Enhancing visibility of GST Sahay for onboarding small business ;
(viii) to attend any other miscellaneous assignments given by BO from
time to time.",2025
371,Media.net,Media / Entertainment,,BBA,CMS Lalbagh,Associate - Campaign Management.,Bengaluru,UG,21-05-2025,May,FULLTIME," Familiarity with campaign management tools (e.g., Google Ads,
Facebook Ads Manager, Bings Ads) and analytics platforms (e.g., Google Analytics).
Basic Excel skills required.
● Soft Skills: Strong organizational skills, attention to detail, and ability to manage
multiple tasks under deadlines. Good communication skills for team collaboration. ● Campaign Execution: Assist in setting up and launching campaigns across platforms
(e.g., Google Ads, Facebook Ads, Instagram Ads, Bing Ads, Tiktok), ensuring all assets
(creative, copy, targeting) are correctly implemented.
● Performance Monitoring: Track campaign metrics (e.g., impressions, clicks, leads,
conversions) using tools like Google Analytics, ad servers, or CRM systems, and report
findings to the team.
● Optimization Support: Collaborate with managers to adjust campaigns in real-time
(e.g., tweaking bids, targeting, or creative) to improve ROI and meet KPIs.
● Coordination: Work with internal teams (e.g., design, product) to gather assets, align
timelines, and ensure seamless campaign delivery.
● Data Entry & Reporting: Maintain accurate campaign records, input data into tracking
systems, and prepare basic performance summaries for review.
● Quality Assurance: Review campaign materials for compliance with brand guidelines
and platform policies before launch.
● Administrative Tasks: Schedule meetings, document updates, and handle routine
inquiries to keep campaigns on track.",2025
372,TTEC,Professional Services,,B.Com / BMS / BBA,Commerce / CMS Lalbagh,Chat and Email Customer Service Representative,Ahmedabad,UG,26-05-2025,May,FULLTIME,"Amazing fluency written English
Accurately understand and resolve the customer
concerns
-
The term customer would describe someone who would
wish to purchase or sell a product/products/product
catalogue/collection on the client website
-

Though most customers raise basic concerns which
results in a lower turnaround time, there are some
wherein sellers would like to understand how they can
expand their business and ultimately achieve a higher
revenue and profit. This is where a lot of research and
analytical skills come into the picture which helps in
providing a very satisfactory resolution to sellers the
goal here is to get business on a regular interval from
the customers
-

Patience a key aspect of the job. Not all customers are
satisfied with a resolution which is provided though it is
as per the policies/guidelines laid down by the client. To
be able to handle such situations by keeping calm and
at the same time convincing the customer about the
resolution provided
-

Retention It is very important to be aware of the policies
laid down by the client and also be aware of any product
updates which come from the client. Effectively,
absorbing and retaining content delivered throughout the
training period and clear assessments conducted during
that particular period
-

Flexibility Individuals should be flexible to work in a 24/7
environment. Though we try our best to provide shifts
which are rotating on a monthly basis, however based
on the business requirements, they would also be
expected to work in consecutive night shifts, say 3-4
months
-

Multitasking It would be expected that 3-4 chats would
need to be handled at any given point of time, where the
nature of the queries would vary from one another and
the resolution needs to be provided without consuming
too much time of the customer ",2025
373,KPMG India,Financial services,,B.Com / BMS / BBA,Commerce / CMS Lalbagh,Resource Management Analyst.,Bengaluru,UG,25-05-2025,May,FULLTIME,"xcellent working knowledge of excel (mandatory)
Good Communication (Written & Verbal)  
Good stakeholder management (onshore & offshore)
Ability to Design Dashboards on multiple platforms.
Ability to handle large datasets and proven ability to align data needs to business strategies.
Strong understanding of the data design and their relations to enable reporting and analytics Roles & Responsibilities
Tracking and addressing business requirements within required timeline
Bench management
Day to day follow up and coordination with different teams (including business & support) to ensure timely flow of MIS
Responsible for preparation & maintenance of the MIS Reports on Daily, Weekly, & Monthly metrics
Thorough, diligent and executing the tasks with a high level of accuracy
Should be able to re-cut data into various meaningful reports
Excellent in MS Excel (Hlookup, Vlookup, lookup, Pivot Table & Pivot Table Chart, Forms, If/else statements, data validation & Scenarios)
Prompt reporting and reply to mails
Time management and Proactive Approach
Conduct deep dive analysis to uncover trends
Provide analytical support to Business Unit reviews
Collaborating with other RM's to close open requirements
Lead efforts in creation of standard operating procedures (S.O.P.’s) and other documentations
Strong analytical skills required including a thorough understanding of how to interpret business needs and translate them into application and operational requirement
Excellent written and verbal communication
Analyzing MIS report to provide feedback
Assist reporting manager in designing of business reporting templates/dashboards etc. and automation of reporting requirement.
Assist in creation of reports as required by business and support teams.
Regular monitoring of budget vs actual and reporting of exceptions. Conducting variance analysis for the same for implementing corrective actions.
Contribute to the development of a corporate culture which encourages dialogue, support for individuals, openness to new ideas and the ability of each individual in the organization to achieve professional and personal fulfillment.
Acts as a point of escalation for all priority issues & provide effective solutions both within the team and for all external customers within the Business.
Support to the team’s for execution of assigned tasks and behaviors within the billing process such that KPIs, and SLAs are always met and often exceeded",2025
374,WeSkill,Ed-Tech,,BBA,CMS Lalbagh,Business Development,Bengaluru,UG,25-05-2025,May,FULLTIME, ,2025
375,ANZ Bank,BFSI/NBFC,,B.Com / BMS / BBA,Commerce / CMS Lalbagh,Analyst,Bengaluru,UG,25-05-2025,May,FULLTIME," Coordinate the mortgage process from application to loan settlement, ensuring smooth execution.
Track loan applications, maintain quality standards, and assist in processing deals efficiently.
Conduct basic credit assessments and calculations for loan restructures, ensuring compliance with company policies.
Negotiate pricing for Fixed Rate Rollovers, applying lending and credit policy knowledge or escalating when necessary.
Act as a key point of contact between teams, addressing customer and adviser queries efficiently.",2025
376,NR Group,Professional Services,,BBA / BMS,Commerce / CMS Lalbagh,Marketing and Sales development Specialist,Bengaluru,UG,27-05-2025,May,FULLTIME,"1) Looking for Freshers : sales, business development, or
field marketing.
2) Mandatory two-wheeler &amp; valid driving license for site
visits.
3) Strong communication, negotiation &amp; interpersonal
skills.
4) Ability to travel extensively for fieldwork.
5) Basic knowledge of construction, facades, glazing, or
building materials (preferred but not
mandatory).
6) Self-motivated, result-driven, and eager to build a career
in sales. Site Visits &amp; Lead Generation
Visit construction sites, builders, and contractors to identify
potential business opportunities.
Gather project details, assess client needs, and generate
high-quality leads.
Maintain relationships with site engineers, project managers,
and procurement heads.
Client Meetings &amp; Business Development
Schedule and attend meetings with architects, builders, and
contractors to present Spacekis solutions.
Explain product benefits, materials, and installation
processes to potential clients.
Develop and nurture client relationships to convert leads into
business opportunities.
Follow-ups &amp; Sales Conversion

Consistently follow up with leads and track project progress.
Address client queries, negotiate deals, and assist in closing
sales.
Collaborate with the senior sales team to finalize orders.
Market Research &amp; Competitive Analysis
Keep track of ongoing and upcoming construction projects in
the region.
Gather insights on competitor offerings, pricing, and market
demand.
Suggest strategies to enhance market penetration and brand
presence.
Reporting &amp; CRM Management
Maintain an updated database of leads, client interactions,
and sales progress.
Submit regular reports on site visits, lead status, and market
insights.
Ensure accurate documentation of sales activities in the
CRM system.",2025
377,Prop Times,Real Estate / Construction,,B.Com / BMS / BBA,Commerce / CMS Lalbagh,Business Development Associate (BDA),Bengaluru,UG,28-05-2025,May,FULLTIME,"Communication: Strong interpersonal and communication skills.
• Client Handling: Proven ability to manage client relationships effectively.
• Real Estate Knowledge: Sound understanding of the real estate industry (non-real estate &
Freshers also can apply if willing to Learn)
• Competitors Knowledge: Awareness of market competitors and industry trends.
• Right Attitude: Positive and proactive mindset.
• Negotiation Abilities: Skillful negotiation to achieve optimal outcomes.
 As a Sales associate at our esteemed organization, you will play a pivotal role in the success of our
projects. Each employee will be entrusted with a designated project and will have the sole
responsibility for client and business partner management. Here's what the role entails:
1) Project Presentation:
▪ Receive leads generated by the team.
▪ Engage clients via calls or virtual meetings, presenting comprehensive
project details.
2) Project Visits:
▪ Arrange project visits based on client availability.
▪ Accompany clients during on-site visits to showcase project highlights.
3) Conversions and Closures:
• Skillfully handle client inquiries and objections.
• Lead the process of project conversions and closures.
4) Follow-Ups:
• Implement a robust follow-up strategy post-project visits.
• Ensure continuous engagement to address client queries and concerns.
5) Relationship Management:
• Cultivate and maintain professional relationships with clients and
business partners.
• Act as the primary point of contact, representing the company in
a positive light",2025
378,Cholamandalam,Financial services,,B.Com / BMS / BBA,Commerce / CMS Lalbagh,Graduate Trainee,Bengaluru,UG,28-05-2025,May,FULLTIME, ,2025
379,Mindenious Edutech,Ed-Tech,,B.Com / BMS / BBA,Commerce / CMS Lalbagh,Business Development Associate,Bengaluru,UG,30-05-2025,May,FULLTIME," Build strong relationships with potential clients and drive new business.
• Identify and pursue exciting sales opportunities in the edtech space.
• Develop and execute strategies to achieve yoursales goals.
• Collaborate with our talented team to expand our reach.
 Identify potential customers and new business opportunities within the education sector.
• Research and prospect new leads through various channels such as lead calling, email
campaigns, social media outreach, and networking events.
• Develop a deep understanding of the company's products and services, particularly its
educational technology solutions.
• Tailorsales pitches and presentationsto showcase how the company's offerings address the
specific needs and challenges of educational institutions, teachers, and students.
• Relationship Building and Consultative Selling.
• Manage and nurture leadsthrough the sales pipeline, from initial contact to closure.
• Keep accurate records ofsales activities, including lead interactions, follow-ups, and
progress updates.
• Negotiate term, pricing, and contracts with prospective clients, ensuring company policies
and objectives.
• Foster long-term relationships with customers by providing ongoing support,
addressing concerns, and offering additional value-added services.
• Proactively engage with existing clients to identify upselling and cross-selling
opportunities to drive revenue growth",2025
380,Wise.live,Ed-Tech,,BBA,CMS Lalbagh,Human Resource Manager,Bengaluru,UG,02-06-2025,June,Internship Cum PPO Offer,"Excellent verbal and written qualification skills
● Some prior relevant HR/Recruiting experience Support the identification and initial screening of potential candidates through
various online platforms and internal databases
● Review resumes against job requirements and conduct initial phone screens to
assess
candidate suitability and communication skills
● Efficiently schedule and coordinate interviews between candidates and hiring
managers, managing all related logistics and communications
● Contribute to building and maintaining a healthy talent pipeline by assisting with
research into new sourcing channels and recruitment best practices
● Provide general administrative support to the HR team, ensuring smooth recruitment
operations and a positive candidate experience",2025
381,Yuma Energy,Financial services,,BBA,CMS Lalbagh,Monitoring Associate,Bengaluru,UG,02-06-2025,June,FULLTIME,"Good communication skills in English and Hindi (mandatory).
• 0-1 year of experience in operations management, preferably managing field staff.
• Ability to adapt to the dynamic nature of on-ground operations.
• Preferred backgrounds: E-Commerce, Logistics, or Mobility sectors.
• Willingness to work in night shifts and a 6-day work week.
 Operations Management: Oversee daily operations and execute planned strategies for City
Operations.
• Process Execution & Optimization: Understand existing processes, execute them
effectively, and identify areas for efficiency improvements for field staff.
• Field Coordination: Work closely with the field team, evaluate operations, execute
Standard Operating Procedures (SOPs), take corrective actions, and strengthen Yuma’s
on-ground presence.
• Battery Quality Management: Execute projects to maximize the quality and availability of
batteries in the field.
• Control Room Operations: Be part of the control room team to enhance operational
efficiency on the ground.
• Customer Support: Assist customers over chat and phone calls as needed, resolving
queries and ensuring smooth battery operations.
",2025
382,Gutenberg,Professional Services,,B.Com / BMS / BBA,Commerce / CMS Lalbagh,PR / DIGITAL MARKETING/ MANAGEMENT TRAINEE,Bengaluru,UG,02-06-2025,June,FULLTIME," ⧫Assisting in the creation and execution of digital campaigns, including traffic diversion, follow-ups, and regular reporting on campaign performance.
⧫Conducting research to propose and implement new digital ideas.
⧫Supporting client teams in managing client relationships and addressing their needs effectively.
⧫Identifying and exploring new opportunities to present to clients, contributing to business growth and expansion.
⧫Providing research-based recommendations to the wider team on digital optimization strategies and best practices.
⧫Assisting in Managing and enhancing the client's presence across various social media platforms, including but not limited to Twitter, Facebook, YouTube, and LinkedIn.
⧫Continuously seeking new opportunities and suggesting initiatives to improve the overall social media experience for clients.
⧫Exploring external measurement tools to enhance performance tracking and making recommendations to the internal team for implementation.
Maintaining regular reports on digital marketing activities.  ",2025
